"id","echelle","indicateur","valeur"
"7","recoquartier","part_logh_rs","0"
"7","recoquartier","id_village_avenir",""
"7","recoquartier","id_pvd",""
"7","recoquartier","id_acv","acv-006"
"7","recoquartier","part_mur_beton_agglo","1"
"7","recoquartier","part_mur_pierre_meuliere","0"
"7","recoquartier","part_mur_briques","0"
"7","recoquartier","part_mur_autres_indetermines","0"
"7","recoquartier","part_toit_zinc_alu","0"
"7","recoquartier","part_toit_zinc_ardoises","0.17"
"7","recoquartier","part_toit_tuiles","0.83"
"7","recoquartier","part_toit_beton","0"
"7","recoquartier","part_toit_autres_indetermines","0"
"7","recoquartier","fid","7"
"7","recoquartier","clust","5"
"7","recoquartier","clust_bis","1bis"
"7","recoquartier","lib_clust_bis","Les Quartiers de Logement Social"
"8","recoquartier","dep","Orne"
"8","recoquartier","epci","CU d'Alençon"
"8","recoquartier","insee_com","{61001}"
"8","recoquartier","commune","Alençon"
"8","recoquartier","nom_iris","Halle aux Toiles-Centre-Préfecture"
"8","recoquartier","insee_com_rattacht","61001"
"8","recoquartier","nom_com_rattacht","Alençon"
"8","recoquartier","nb_batiment_reco","7"
"8","recoquartier","somme_nlogh_reco","92"
"8","recoquartier","nb_logt_par_batiment","13.14"
"8","recoquartier","somme_nloccom_reco","5"
"8","recoquartier","part_nloghloue_reco","0.76"
"8","recoquartier","part_nloghpp_reco","0.1"
"8","recoquartier","part_nloghvac2a_reco","0.03"
"8","recoquartier","part_0_2_etages","0.29"
"8","recoquartier","part_3_5_etages","0.71"
"8","recoquartier","part_6_et_plus_etages","0"
"8","recoquartier","part_copro_reco","0.86"
"8","recoquartier","part_nloghlls_exo_fiscale_reco","0"
"8","recoquartier","part_nlogh_orga_hlm_reco","0"
"8","recoquartier","surface_ha","2"
"8","recoquartier","nb_copro_reco","2"
"8","recoquartier","somme_nlogh_copro_reco","41"
"8","recoquartier","part_syndic_pro_copro_reco","1"
"8","recoquartier","part_syndic_benevole_copro_reco","0"
"8","recoquartier","part_syndic_sans_info_copro_reco","0"
"8","recoquartier","somme_individus","88"
"8","recoquartier","somme_menages","51"
"8","recoquartier","tmm","1.72"
"8","recoquartier","part_men_pauvre","0.15"
"8","recoquartier","part_men_1ind","0.62"
"8","recoquartier","part_men_5ind","0.03"
"8","recoquartier","part_men_fmonoparentale","0.12"
"8","recoquartier","surface_par_individu","39.83"
"8","recoquartier","niveau_vie_individu","20941.8"
"8","recoquartier","ind_0_17_ans","0.19"
"8","recoquartier","ind_18_24_ans","0.07"
"8","recoquartier","ind_25_39_ans","0.2"
"8","recoquartier","ind_40_64_ans","0.33"
"8","recoquartier","ind_65_ans_et_plus","0.21"
"8","recoquartier","part_dpe_efg","1"
"8","recoquartier","part_bat_0_300_m_ev","1"
"8","recoquartier","part_bat_300_850_m_ev","0"
"8","recoquartier","taux_impermeabilisation","72"
"8","recoquartier","qpv_lib",""
"8","recoquartier","part_qpv","0"
"8","recoquartier","part_abf","0"
"8","recoquartier","classification_ville","5"
"8","recoquartier","classification_ville_lib","Grande centralité"
"8","recoquartier","somme_nlogh_tout_bati","107"
"8","recoquartier","somme_loccom_tout_bati","7"
"8","recoquartier","densite_tous_logh_ha","54"
"8","recoquartier","densite_tous_loccom_ha","4"
"8","recoquartier","estim_pop","114"
"8","recoquartier","nb_loccom_1000_hab","61"
"8","recoquartier","part_logh_1p","0.22"
"8","recoquartier","part_logh_2p","0.25"
"8","recoquartier","part_logh_3p","0.3"
"8","recoquartier","part_logh_4p","0.18"
"8","recoquartier","part_logh_5p_et_plus","0.04"
"8","recoquartier","part_logh_rs","0.04"
"8","recoquartier","id_village_avenir",""
